Blog	travel	master	nature	crowd	grandma	article	west	scott	research	general	account	false	tape	riding	willing	artist	production	daniel	dogs	aunt	tony	shared	foot	inspired	bless	toward	grant	obviously	similar	links	university	key	tuesday	speaking	miles	seat	label	hardcore	extended	download	eggs	easter	yard	reached	success	dressed	excellent	football	cards	cheap	jazz	direction	focus	adventure	hill	king	solo	flight	meaning	include	chose	joe	jon	term	rare	blogs	kinda	spoke	machine	twitter	heading	legs	copy	babies	data	records	breath	laughed	act	ah	dawn	states	html	relationship	basically	sea	community	santa	results	jesus	clearly	email	appeared	official	families	minor	hall	em	en	et	ep	pray	classic	recorded	till	ben	kick	candy	daddy	skin	texas	vinyl	language	according	nose	students	titled	search	throughout	create	bill	y	per	island	honestly	bus	path	ma	ms	program	presentation	design	scared	usual	member	series	showed	doors	camp	planned	previous	sigh	se	um	un	uk	race	packed	bike	interest	japan	created	board	appear	january	album	cars	british	national	asleep	ya	jeff	based	gonna	whose	meal	featured	mini	regular	explain	sugar	website	kim	character	bass	keith	cheese	nearly	blessed	bible	members	para	recording	extremely	common	fans	purpose	gifts	actual	limited	request	hospital	london	report	trust	cook	unfortunately	heat	heather	thursday	v	mommy	problems	river	van	holy	release	result	east	creative	slightly	offer	sale	social	blues	continued	paul	literally	archive	reality	familiar	youtube	mentioned	career	bay	suppose	wanna	slept	mark	bags	doctor	bread	build	lines	unless	player	metal	characters	precious	wood	review	kill	fat	trouble	various	whom	edge	york	chicken	english	goodness	singer	dave	split	decision	originally	internet	formed	former	november	uploaded	festival	thanksgiving	web	provide	easily	musical	prayer	nor	thankful	ring	vocals	america	discovered	stars	tracks	horse	grey	popular	wave	michael	allowed	hits	lose	library	north	likely	fantastic	tells	ears	cousin	seven	journey	performance	among	consider	images	restaurant	despite	que	justin	colors	conference	posts	guitar	lisa	christian	weight	musicians	peace	museum	clip	thus	perhaps	press	incredible	japanese	kelly	fairly	possibly	unique	bloody	vacation	period	image	content	pics	author	grace	moon	challenge	led	les	shall	animal	allow	david	study	strength	dc	da	du	dr	background	blast	hell	indeed	entirely	okay	concert	media	speed	towards	famous	faith	sharing	halloween	hadn	ha	recommend	shit	digital	effort	pizza	paid	seconds	videos	material	stood	airport	delicious	paint	mama	le	lo	lp	studio	greatest	bands	na	mso	performed	brothers	included	worse	tea	mission	reasons	pt	san	steve	issues	cross	example	price	bright	screen	joined	gorgeous	gold	available	readers	format	lord	magic	score	highly	war	becoming	grateful	certainly	presented	lol	cookies	damn	positive	noise	perfectly	demo	peter	attempt	modern	folks	managed	file	film	chris	simply	mid	interview	jack	weren	tom	plenty	expected	grab	released	chinese	remix	session	sex	ear	piano	mike	student	debut	ate	falling	punk	pages	via	plane	bowl	europe	doubt	involved	haha	market	james	flowers	albums	performances	reach	plays	artists	force	grade	somewhat	lyrics	grown	milk	french	california	everyday	particular	gotten	youth	mountain	entry	google	favourite	dan	sadly	text	practice	blessings	j	paris	christ	difference	bathroom	hearts	wide	energy	suddenly	font	notes	closer	el	er
{ The Marshall Family }	0	1	0	0	45	0	0	0	0	0	0	0	0	1	4	1	0	0	2	9	1	2	2	0	0	3	0	6	1	0	1	0	5	0	0	6	0	0	1	1	4	8	7	0	0	5	0	12	0	3	1	1	0	4	0	0	0	6	2	1	2	0	0	0	0	2	1	0	1	0	2	5	1	4	0	0	0	3	0	0	0	0	0	0	8	2	0	4	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	13	22	2	3	0	0	0	5	2	0	1	1	0	2	0	1	1	1	3	2	0	0	1	0	0	3	1	0	0	4	0	5	6	1	1	0	0	0	0	2	2	1	1	0	0	0	1	1	0	7	0	6	10	9	0	0	1	0	8	0	0	4	3	2	0	0	0	0	0	8	6	0	0	2	0	0	0	1	0	1	6	1	1	2	7	0	0	0	8	1	4	0	7	3	19	6	4	0	0	0	2	0	0	0	1	4	1	0	1	0	2	0	0	3	0	0	0	0	2	0	9	0	1	22	0	4	1	0	0	0	2	2	0	0	0	4	7	0	0	0	5	3	0	4	0	0	1	1	0	2	0	1	0	0	1	6	1	0	1	0	0	0	1	2	0	1	1	0	0	1	0	0	2	0	3	0	1	2	0	2	0	3	1	10	0	0	0	1	0	0	4	2	0	0	1	2	1	0	0	0	1	0	0	4	0	0	0	1	0	1	0	0	5	0	1	1	0	0	1	11	0	0	0	1	0	0	0	1	0	0	1	1	3	2	0	1	1	2	0	0	0	1	6	0	0	0	0	0	0	18	1	1	2	0	0	0	9	3	2	0	0	1	3	2	1	0	0	0	0	0	3	0	0	0	0	1	2	8	0	0	1	0	2	3	0	1	0	5	0	0	1	1	1	0	1	0	0	0	0	0	1	1	11	0	0	0	17	0	1	0	3	0	0	4	0	0	4	0	0	0	0	0	1	3	8	0	0	1	3	0	0	0	0	0	0	0	227	0	0	15	5	0	1	0	6	15	0	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	3	2	1	0	6	1	8	0	2	1	0	0	1	1	3	2	0	0	0	0	0	2	0	2	1	4	0	0	2	0	1
neil storey @ storeys	13	81	13	22	0	22	34	9	23	18	6	8	36	13	6	35	16	6	8	0	21	11	13	7	2	40	3	29	26	8	9	41	7	13	16	15	46	1	11	35	7	4	6	13	10	18	3	6	7	6	6	21	9	3	19	31	22	10	33	13	2	10	3	23	13	9	7	6	31	17	23	17	34	0	5	51	7	0	35	19	14	7	0	6	18	19	4	1	3	0	60	8	13	10	7	17	26	20	7	4	0	2	31	161	2	9	12	0	2	8	1	55	5	41	10	7	3	18	22	17	15	65	12	158	15	20	2	3	8	1	3	13	3	16	9	22	5	23	6	13	17	2	1	0	23	47	71	11	11	6	3	13	18	24	18	181	15	61	13	3	6	4	25	14	33	2	15	7	8	11	8	6	0	2	20	2	3	16	7	11	6	0	37	4	7	29	8	2	20	13	4	3	90	14	13	4	4	4	1	4	6	0	1	20	14	9	27	17	9	19	29	26	7	4	12	3	30	17	10	37	10	9	12	13	4	26	1	1	27	3	17	6	7	14	23	22	9	5	5	11	2	8	5	10	18	33	20	34	8	19	12	27	10	7	5	15	45	7	37	14	2	3	0	42	6	9	73	1	28	1	11	12	20	11	15	21	7	30	7	8	33	27	15	1	5	16	5	14	16	18	4	29	12	29	36	18	21	4	13	3	0	0	6	2	37	0	6	8	8	5	4	9	51	84	29	11	1	0	29	23	10	58	0	11	21	31	0	5	15	8	3	45	0	27	0	12	18	7	9	0	1	5	8	25	1	47	52	58	0	11	32	14	1	9	10	24	0	21	3	1	18	23	3	3	45	37	5	15	26	3	5	4	3	5	5	2	36	17	22	4	0	2	13	26	16	6	7	18	0	7	43	3	21	70	15	13	32	9	0	15	39	8	3	10	16	2	27	37	18	0	25	6	0	0	12	8	15	18	8	12	17	21	2	7	37	35	33	73	38	8	11	20	38	4	16	5	40	2	0	5	9	27	14	12	3	14	4	7	4	13	72	9	7	17	21	20	0	18	19	3	43	8	13	8	26	11	9	39	10	8	6	20	4	0	85	2	4	6	1	13	19	2	26	8	6	0	7	8	3	12	6	4	33	11	6	1	24	10	2	1
dropdeadcute	0	1	2	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	2	0	3	0	0	0	0	0	1	0	1	0	1	0	1	4	0	0	0	1	0	3	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	3	1	1	0	1	0	0	0	0	1	2	0	1	0	2	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	4	2	0	1	1	1	0	2	0	0	0	1	1	1	0	1	1	4	2	0	0	0	0	0	0	1	0	3	1	6	0	3	0	1	0	0	10	0	2	0	0	0	0	0	0	0	0	2	0	1	0	6	1	0	0	0	0	1	0	0	8	0	0	0	2	0	0	3	0	0	0	1	2	0	0	2	0	0	1	0	2	0	0	1	1	1	1	3	0	1	1	2	2	0	1	1	0	0	1	0	3	0	0	0	1	3	2	0	0	2	0	0	0	2	0	1	0	1	0	54	0	1	0	3	0	0	0	0	0	0	1	1	4	7	2	0	0	0	1	0	0	1	4	0	0	1	0	0	1	1	0	0	4	0	2	0	1	1	6	0	1	2	3	1	0	2	1	0	0	0	6	0	0	0	0	0	2	0	1	0	1	0	1	0	4	0	2	0	0	0	0	3	3	3	6	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	4	1	1	0	0	9	4	1	1	0	2	5	0	3	1	0	0	1	1	0	0	1	2	3	1	0	0	1	1	1	0	0	1	0	3	5	0	4	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	36	1	1	0	0	0	0	2	0	0	1	1	0	0	0	1	1	1	1	0	0	3	0	0	2	7	0	3	0	0	2	0	0	0	13	1	5	1	1	0	0	4	2	0	0	2	0	0	0	0	0	0	1	1	3	2	0	0	1	4	0	3	0	4	0	1	0	0	0	0	1	3	5	0	2	1	0	0	0	0	0	2	1	2	2	2	0	0	3	1	0	1	3	0	0	4	0	2	0	1	0	3	3	0	0	0	1	0	4	1	0	0	8	4	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0
Life with Kensie and Blakely	0	5	1	0	48	1	0	2	1	1	0	0	1	4	0	0	0	0	0	11	0	0	10	0	0	0	1	4	2	0	0	1	4	0	0	3	0	0	0	0	27	28	2	1	2	6	1	2	2	0	0	0	0	5	10	0	2	0	0	0	0	1	0	1	0	2	11	0	6	0	0	9	1	4	0	1	5	7	1	0	0	0	1	0	9	7	0	10	0	1	1	0	0	5	2	0	2	6	0	0	0	1	0	1	2	0	5	25	12	3	0	0	0	0	11	0	0	1	0	0	1	3	0	0	1	2	0	1	1	1	0	0	16	3	0	0	13	3	1	2	1	1	0	0	0	0	1	3	6	1	0	1	2	0	0	0	1	0	0	5	22	0	7	23	4	1	0	2	5	2	9	0	0	0	0	3	11	0	1	0	0	0	1	0	0	1	0	1	3	0	0	6	0	0	4	5	18	1	0	8	0	11	1	6	0	1	0	0	0	1	1	0	0	0	0	1	1	3	0	0	0	4	0	0	0	0	8	8	3	2	1	4	2	1	1	0	0	1	0	2	0	1	3	0	0	0	0	0	2	2	6	0	0	0	0	1	0	0	0	1	1	0	11	0	0	0	2	0	1	0	6	0	0	10	2	0	5	2	1	1	0	7	1	1	5	0	1	2	3	7	6	0	0	3	0	0	0	4	0	0	6	7	1	9	0	1	0	2	0	0	6	1	0	2	0	0	0	1	1	3	0	1	1	0	0	0	0	0	2	0	3	0	0	0	5	1	2	0	0	0	3	0	9	2	5	0	0	0	0	3	0	0	0	1	0	0	18	2	6	0	1	0	1	9	1	4	5	0	4	0	7	11	0	0	0	0	0	1	2	0	0	0	1	0	1	7	3	0	2	16	56	3	2	4	0	5	3	2	0	4	1	0	0	0	4	6	0	2	2	0	0	0	35	15	0	1	2	3	0	0	1	0	1	1	0	0	0	0	2	0	4	9	0	0	0	5	0	1	0	0	0	4	2	0	0	0	12	2	0	2	0	1	2	0	0	2	2	0	0	0	0	0	3	3	0	3	0	0	0	7	6	0	9	4	0	2	0	3	1	0	0	1	0	2	8	0	3	0	0	1	9	2	0	1	9	0	0	3	1	3
Gayle & Curt family Blog	0	0	0	1	21	0	0	5	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	1	2	0	2	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	2	2	2	1	0	2	0	1	4	0	0	0	0	0	0	1	0	0	1	0	0	3	0	1	1	1	2	0	0	1	0	1	0	0	3	0	0	0	0	0	0	5	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	3	0	1	0	0	1	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	2	0	1	0	1	0	0	0	5	0	0	1	0	3	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	6	0	0	0	0	2	0	2	0	4	0	0	0	1	0	0	1	0	3	40	2	0	0	0	0	1	1	9	0	0	0	17	0	0	0	0	1	0	1	5	1	7	0	0	0	0	0	1	1	1	0	1	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	15	1	0	1	1	0	1	0	1	0	0	3	0	2	0	0	0	2	0	0	0	2	5	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	29	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	4	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	4	0	0	4	1	0	0	1	0	1
Home Grown Home	1	0	1	0	10	0	0	0	1	1	0	1	1	8	0	0	0	0	2	3	0	0	1	0	0	0	1	2	0	0	0	0	5	0	7	2	0	0	0	0	0	3	8	0	0	4	0	0	0	1	0	1	0	0	3	1	0	1	1	0	2	0	0	0	0	4	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	8	0	0	0	0	1	0	0	6	3	0	0	1	1	0	3	1	0	0	0	0	0	9	3	19	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	2	1	1	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	4	0	1	1	3	0	0	0	3	1	5	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	2	1	0	2	4	1	1	1	0	0	0	0	0	0	0	1	3	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	4	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	9	0	0	0	9	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	1	6	0	0	9	1	0	0	0	0	0	0	9	2	7	1	0	0	0	3	2	2	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	4	0	0	0	1	0	3	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	5	0	0	0	2	1	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0
40 Pink Piggies	2	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	9	0	0	2	0	3	2	0	1	0	2	2	3	1	0	1	4	0	0	0	2	0	6	3	0	0	7	0	9	3	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	1	1	1	0	0	3	0	5	0	0	0	1	0	0	0	0	0	1	1	4	2	10	1	0	2	2	0	0	0	0	0	0	0	0	0	5	0	0	0	14	0	11	36	1	0	1	0	0	0	0	0	1	0	0	53	1	0	4	2	0	0	0	0	3	0	0	0	1	0	0	1	0	11	0	0	0	0	0	0	0	1	2	1	0	0	2	6	0	2	0	0	0	6	8	5	0	0	0	1	1	0	0	0	1	3	2	1	1	0	0	6	1	8	1	0	0	0	0	0	2	0	2	1	1	0	5	0	2	0	1	0	4	4	8	0	46	0	0	0	6	0	0	1	2	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	3	1	2	0	1	0	1	1	0	11	2	0	1	2	2	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	2	4	1	0	0	0	4	1	10	3	0	0	0	3	0	2	0	0	0	6	1	1	1	1	0	0	0	4	1	7	0	0	0	0	0	0	4	1	0	0	2	0	1	0	0	2	7	0	4	0	1	0	0	0	0	0	5	0	0	0	0	5	1	0	0	16	1	88	1	0	1	0	0	0	1	2	2	1	0	1	0	9	0	2	4	1	0	0	1	0	0	0	3	1	1	5	0	0	0	0	0	0	0	2	2	2	0	0	0	0	6	5	0	0	0	0	1	3	0	0	0	4	0	3	3	0	5	0	0	1	0	1	0	0	1	0	3	2	0	0	1	0	7	1	1	0	1	0	0	0	1	0	3	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	2	1	0	0	0	1	0	2	3	0	0	3	2	0	3	0	3	2	0	1	0	4	0	0	4	0	1	0	1	0	0	7	0	0	1	2	0	0	3	0	1	0	0	0	0	0	0	0	1	11	0	1	0	0	1	1	0	2	0	0	0	1	0	0	0
Web Science and Digital Libraries Research Group	26	24	11	27	0	33	5	39	203	25	30	0	1	0	3	2	5	11	0	0	1	30	2	10	0	12	7	6	29	74	170	11	8	4	1	0	1	0	11	18	0	1	0	10	10	0	8	15	1	3	0	3	34	4	6	1	0	4	11	30	10	0	3	21	1	12	0	49	74	74	1	0	46	0	460	31	1	4	6	7	0	12	72	12	6	22	43	5	82	0	5	18	5	3	1	8	3	1	21	19	0	0	5	13	4	10	2	1	0	0	10	0	36	12	3	56	35	123	7	56	10	9	34	1	0	4	26	2	16	42	217	29	0	4	19	28	48	0	14	3	22	0	1	0	3	32	5	3	1	23	11	92	3	10	18	0	1	18	72	1	0	10	146	1	10	0	4	1	19	11	0	53	5	5	0	1	1	13	1	0	52	0	12	9	17	12	10	1	14	14	26	0	8	93	4	1	12	4	5	11	19	1	26	3	28	0	25	34	2	8	8	7	1	141	1	22	9	0	591	4	15	32	38	25	27	2	1	0	16	2	1	2	27	5	4	5	1	4	1	1	26	1	2	1	56	2	24	15	0	10	1	0	1	4	3	6	170	4	13	21	15	1	1	811	54	19	1	0	8	0	0	0	4	22	0	4	2	1	22	1	154	13	1	5	186	16	17	2	0	0	0	4	1	52	19	12	71	8	3	2	33	4	200	34	1	7	4	6	0	2	7	0	22	16	16	2	1	15	10	7	13	0	0	15	63	238	0	19	10	1	21	10	0	0	2	34	47	62	14	13	1	0	78	9	1	0	4	3	0	0	101	9	11	4	0	27	2	1	2	9	0	353	18	0	5	11	44	13	1	6	19	0	0	2	0	2	3	1	0	0	0	20	0	31	4	1	10	9	0	47	1	27	13	149	2	2	26	5	0	6	117	8	62	0	1	17	6	5	5	3	4	264	0	1	1	9	5	5	37	7	14	5	3	5	50	1	6	13	1	10	3	3	4	0	14	6	21	1	0	189	0	0	0	7	24	0	0	0	0	150	34	2	2	1	2	16	0	6	11	2	0	1	14	3	5	7	1	4	0	3	0	7	14	3	17	1	1	0	8	118	0	4	0	67	18	0	18	1	0	15	0	0	20	7	1	0	15	4	0	0
Teetering on The Edge	17	1	9	2	20	12	11	0	3	11	13	1	3	3	19	0	0	36	0	7	0	9	8	0	4	0	4	18	11	2	13	4	27	16	1	16	0	0	1	0	11	7	2	39	3	1	7	1	9	8	1	8	23	3	2	15	0	27	13	3	14	3	1	25	1	1	130	10	3	0	17	2	2	0	6	0	9	6	17	22	1	2	4	3	14	18	9	10	3	38	8	7	10	3	7	6	13	4	1	1	0	113	1	0	26	1	6	13	0	7	0	0	33	15	2	26	1	1	2	1	3	10	12	8	6	49	8	1	33	17	3	1	2	15	3	5	17	4	64	7	28	1	3	1	9	0	9	16	16	14	178	1	4	6	0	2	9	0	9	18	10	0	15	25	3	21	0	4	13	14	4	6	0	3	12	1	2	5	20	57	33	0	0	8	14	2	7	1	5	7	5	20	1	9	13	10	28	15	0	34	14	0	18	4	7	15	4	14	13	3	26	2	6	8	1	18	12	2	0	6	10	4	54	0	5	0	0	10	4	3	9	4	4	12	12	0	0	3	1	1	2	6	3	10	9	18	4	0	12	109	6	0	1	5	4	4	17	3	5	11	0	6	16	1	8	19	0	84	0	12	0	0	7	11	6	4	0	1	2	0	2	22	7	13	16	9	5	4	5	7	3	1	10	4	12	4	5	6	26	1	4	0	14	12	5	0	51	6	1	17	4	2	6	25	4	0	126	0	18	7	3	0	0	15	3	2	1	1	17	1	3	23	0	48	1	10	0	40	8	0	2	0	2	10	1	2	3	0	1	7	4	7	9	10	17	8	1	34	5	2	3	1	8	9	13	7	5	0	6	25	0	4	1	0	1	0	6	5	0	0	0	0	5	2	21	10	11	4	1	39	49	11	6	8	3	14	6	13	0	1	6	0	1	40	0	4	6	4	8	20	25	1	0	15	8	8	5	2	0	1	9	5	4	111	2	6	14	12	7	4	1	17	0	2	16	7	2	72	0	15	0	4	3	0	21	0	38	5	3	1	21	22	12	0	4	12	100	3	0	0	4	1	14	5	0	6	0	44	3	9	13	0	0	11	22	39	43	3	24	3	8	2	1	2	13	4	81	0	52	5	0	3	7	11	32	0	4	15	1	16
Piazzolla on Video	2	18	10	11	0	9	7	0	1	3	4	0	3	0	5	25	68	52	3	0	1	28	0	20	0	6	1	2	28	31	30	10	2	2	6	1	6	3	13	17	1	0	0	0	30	2	108	1	1	0	281	8	13	0	3	1	114	1	5	39	15	0	0	9	41	1	0	0	4	176	1	0	16	0	7	7	6	0	4	0	3	6	0	21	1	0	13	3	4	1	65	4	68	7	3	7	35	1	43	15	0	0	62	162	1	5	0	0	0	1	1	1	8	46	0	37	55	9	15	27	0	75	3	0	1	2	11	28	164	30	6	4	0	21	38	68	3	0	0	1	13	0	10	0	67	2	2	1	0	31	46	87	2	530	16	105	1	3	17	3	2	3	35	2	24	1	211	0	11	3	1	86	4	10	105	0	0	25	2	0	83	100	198	11	8	24	4	3	4	17	3	0	12	8	0	0	36	1	0	1	4	0	10	7	20	0	13	43	3	44	8	1	4	0	1	14	13	7	0	6	31	353	6	35	0	1	0	0	17	0	0	0	3	6	2	44	3	1	1	5	37	0	0	2	4	8	12	48	1	14	0	44	2	1	6	50	5	25	16	17	2	90	0	20	46	8	143	0	13	1	1	8	22	14	11	9	0	0	31	2	17	0	6	3	3	8	8	1	9	18	0	49	25	759	26	2	1	5	0	33	0	0	1	2	278	0	7	1	286	1	16	7	5	178	3	7	22	1	26	6	35	0	1	38	3	7	0	4	16	2	23	40	1	2	0	4	15	20	1	0	6	88	5	17	0	1	15	15	0	236	3	5	4	78	0	17	0	0	1	13	0	0	3	0	2	13	981	3	0	0	0	0	0	130	26	39	23	7	10	0	9	177	26	68	1	1	2	7	4	20	1	0	1	41	0	1	3	40	1	9	150	15	24	1	7	91	20	1	11	4	55	10	0	0	0	4	2	9	2	10	8	8	5	3	0	44	0	18	12	23	0	0	7	1	11	0	26	8	4	7	1	13	264	0	25	5	0	1	0	2	5	1	3	29	31	11	0	1	1	2	20	212	2	92	18	6	1	2	74	1	0	24	7	0	7	1	5	0	4	17	0	1	3	9	17	0	11	48	0	10	0	0	6	10	1	12	59	12	81	1
